Order,Creation Date,Total Value,Client Hash
1475321371937-01,2024-11-09 17:04:07+00:00,1156.5,eefedab84e255f0f325d1b84b0db774cee2bc00a5b668dadceb520a0c63adb6d
1475321371937-01,2024-11-09 17:04:07+00:00,1156.5,eefedab84e255f0f325d1b84b0db774cee2bc00a5b668dadceb520a0c63adb6d
1475321371937-01,2024-11-09 17:04:07+00:00,1156.5,eefedab84e255f0f325d1b84b0db774cee2bc00a5b668dadceb520a0c63adb6d
1475611372056-01,2024-11-10 22:00:00+00:00,189.59,c5f779afb319772ca0fd37af9e1f01d3f91b88b5fe28350f3ed3ab46edc2981f
1475321371935-01,2024-11-09 16:46:03+00:00,139.16,bffebda9ca8ca24670b003f1380050068191cc902a14de427357dcca6e5ba147
1475611372054-01,2024-11-10 21:37:03+00:00,249.4,37e1684f1b9b710eb57204849b3ad32347837dfc1d5976a26a0fe7daf9259304
1475611372054-01,2024-11-10 21:37:03+00:00,249.4,37e1684f1b9b710eb57204849b3ad32347837dfc1d5976a26a0fe7daf9259304
1475321371933-01,2024-11-09 16:44:05+00:00,161.18,ef84110196ffe251ec98e87ab1db67abf74592d80ed7954eaa60ec56002c234b
1475601372050-01,2024-11-10 21:25:19+00:00,351.35,1b5e1c31ef3bd8ac9407e4aa1cae927472b067fb742aefd179449f1b6b66e70e
1475601372050-01,2024-11-10 21:25:19+00:00,351.35,1b5e1c31ef3bd8ac9407e4aa1cae927472b067fb742aefd179449f1b6b66e70e
1475311371931-01,2024-11-09 16:27:58+00:00,217.49,98c043257650a9f2bc4e9bfbec89269c93189600827205c3748e89fc5a24306e
1475591372046-01,2024-11-10 20:08:42+00:00,182.06,b620fe69d00ab8f8c0eefc6540e39e6ab38a0016d17b3aa8ba3d26a65d6781a1
1475311371929-01,2024-11-09 16:19:38+00:00,677.51,45bbd9b1184f5e4beef094855d8f7fee082e0ad04b1c25e449e5063ae2974b06
1475311371929-01,2024-11-09 16:19:38+00:00,677.51,45bbd9b1184f5e4beef094855d8f7fee082e0ad04b1c25e449e5063ae2974b06
1475311371929-01,2024-11-09 16:19:38+00:00,677.51,45bbd9b1184f5e4beef094855d8f7fee082e0ad04b1c25e449e5063ae2974b06
1475311371929-01,2024-11-09 16:19:38+00:00,677.51,45bbd9b1184f5e4beef094855d8f7fee082e0ad04b1c25e449e5063ae2974b06
1475591372044-01,2024-11-10 19:33:19+00:00,190.4,f8e8c0a57760abd0971398084abffd80d2e9392f9c5e5d28f96af56ff6f49597
1475311371927-01,2024-11-09 16:04:08+00:00,172.77,35bf0bfa3b34238c57857e650b6d46d8a8bc38708bb7691d5e5e0aa82d6d5dbb
1475581372042-01,2024-11-10 19:26:44+00:00,375.86,071d8a095d0de09d9047febe8c6f07b029c44f41d2da98d0d0a3484914a5c0ac
1475581372042-01,2024-11-10 19:26:44+00:00,375.86,071d8a095d0de09d9047febe8c6f07b029c44f41d2da98d0d0a3484914a5c0ac
1475311371925-01,2024-11-09 15:56:22+00:00,105.88,0ff4f9cc0cfd4bd61886cb228eafa9fd68dacf0d95c5eb1ec80b8c2cb616024b
1475581372040-01,2024-11-10 19:24:25+00:00,510.0,99a42f7e6191788957b8a63d3ed4721667a99e3d0891b83dc075b0da4d82c3ef
1475581372040-01,2024-11-10 19:24:25+00:00,510.0,99a42f7e6191788957b8a63d3ed4721667a99e3d0891b83dc075b0da4d82c3ef
1475581372040-01,2024-11-10 19:24:25+00:00,510.0,99a42f7e6191788957b8a63d3ed4721667a99e3d0891b83dc075b0da4d82c3ef
1475311371923-01,2024-11-09 15:49:03+00:00,83.88,8b4f6929221a275593a054a00f92748e0fb1ba1d78d1c40d76656e4498e8f395
1475581372037-01,2024-11-10 18:56:28+00:00,166.0,700ce8c024a8bd47d361c47a34e6ff047172353ea544e40765f74b0d10c6199e
1475301371921-01,2024-11-09 14:46:43+00:00,279.94,4c19c322f075334ee4381481975de9067b1e0950bdb44b0823c1a618fda73801
1475301371921-01,2024-11-09 14:46:43+00:00,279.94,4c19c322f075334ee4381481975de9067b1e0950bdb44b0823c1a618fda73801
1475581372035-01,2024-11-10 18:32:34+00:00,70.88,9ef57a3043e3f81188745f394ef70db9939af44ee23c48dd393943f0bea6399e
1475301371919-01,2024-11-09 14:37:44+00:00,180.01,1cab5eab61f3d93de679f02755980d65bd6ef3ae5389d5a3f94b6a3c1828f38f
1475581372033-01,2024-11-10 18:32:02+00:00,499.99,8d092a73ffd87d64c14ae2febd76b5e679dcfb6d92802a36c665ba603158f5cc
1475581372033-01,2024-11-10 18:32:02+00:00,499.99,8d092a73ffd87d64c14ae2febd76b5e679dcfb6d92802a36c665ba603158f5cc
1475581372033-01,2024-11-10 18:32:02+00:00,499.99,8d092a73ffd87d64c14ae2febd76b5e679dcfb6d92802a36c665ba603158f5cc
1475301371917-01,2024-11-09 14:33:31+00:00,319.67,9d97e6af6f6fff8471ffaef6324c94aaad1380fd7776997af26b348220ce31ec
1475301371917-01,2024-11-09 14:33:31+00:00,319.67,9d97e6af6f6fff8471ffaef6324c94aaad1380fd7776997af26b348220ce31ec
1475571372031-01,2024-11-10 18:29:56+00:00,309.88,e02f115fa2161685b250d7823a94873836643a39835f170d065e7edad753c3c9
1475571372031-01,2024-11-10 18:29:56+00:00,309.88,e02f115fa2161685b250d7823a94873836643a39835f170d065e7edad753c3c9
