client_hash,recency,frequency,monetary
00cefdc24c5b15db4a8253530db33cfc529578303c6932c437446850d3324406,309,1,121.27
00d254989a4dedd92eb67fd371f370cba0519f01ae0bf9e8579182b0d0bafaf7,438,2,469.44998
00d30980ac37785f56a9bbcd2f3229e9164aec2437d35ba98a32da860c2942f0,177,1,407.63
00d350b557a106f801dd681817a5871f6e997197d0e578f07bd1c626ccb5de96,354,1,344.99
00d66209f60497f2d66cba20b7d3f14c6ec0adaf05bc59486cc7edec47f3f10a,514,1,107.76
00d7fda9b6ac72bc89553388b467b1376b8535e15ac7345d71c0303453e3e351,633,1,135.94
00d87a1bdef0a2c2233815d4fe3cb78b3fbdd0428d08a588a3beb5c88d79d24b,27,1,284.58
00d8a361a276cfa81459a32d7a9ddd8c712a1bff7c7314b3c3ec73489538e49f,73,4,1624.77
00da272170e63d358549edaaafeeb973a7f76a1295c4cd538abb1a8104e4ab2c,350,1,41.17
00dc4b1fce418299a6f9199fb1556eba5a3aa7031a9786bbd19f694a6d391105,236,1,414.62
00df27159c7141e3b5a88a9f9a75cb8e3242f793315e5eeace3a61a813a3e71c,15,4,1159.3
00df679792128df0963e88e8d2c94cd4f123361cc611c60ad74a6cb35d0ab524,645,1,167.76
00e07c379559308171bddfac4346dcb743a38453cd14c2a2e6981ef2cab9e824,671,1,167.76
00e2ceb296469f87c9e7dcf1421d2bce5a520b3a0896a07e7cf842450d308d47,349,1,192.61
00e62fd6b956e924114df8785a3324128652baa169ca9f7977aeb6ee12929526,645,1,355.26
00e69098b13747d633a2ef0888be7c29f51ccfd3c02dc62bae55684cf980580b,156,2,384.36
00e6dbba75349be6c829e3c342b7d2e21db3838a0b15cc5c283c8740007543e9,338,1,157.47
00e6e0065522a27ccbf758f2fa2727345ff45f931cbe5759b3f7e6b785b91a94,342,2,714.97
00e79be59e770bfc7add1907d81c59ebe4d51758075116117bd5aeb0dc62406f,158,1,190.88
00e825dd7ea4ce62a716b3173c18ca974f32928d20f25da4b56abf59bb265a1c,89,3,981.12
00e9224c6dae66397730f7feb76f887e11e6b0be61d306157008f8e2159f11e2,572,1,600.0
00e98d8095be25f58d712f6fb68a366b7fa36085026429828594587edbb87b01,125,1,117.89
00edad35e4ecb9c6f997351ce7e53f12c5c18b63f5bc3f08c836fc46e73444ad,555,2,408.16
00ef398728ab22035f4cf074e82746485a3794832910af107b2ee1ee4e8d73fe,99,2,380.32
00f02567224f5ef9a578cf5cca7b38829e017237a7bca7eb55140edbcc0d7ec1,9,1,139.83
00f119b7c9c4f90ca237a6d57cef219745c2f02b5679c6362afd7b7f36224363,322,2,224.7
00f29a9cb7fc8d6a749ad6f3596dd6834f4a1863ef1252f5fc48ba428f903a61,425,1,219.24
00f2d05b50057bf8b5c72733428242c7ced15aca01a6076dc3fec54730c099f0,387,1,682.59
00f43342255a006d059dc9cd7f8942a7073e55bd28ebd7f413f507b7bde944fb,473,1,128.58
00f59f75f03087b406f12f6db307cb5da5dcf2ec2b6d99d18a0789be9ae9961f,549,1,249.35
00f80a407e4084741cfb69cd9c2c7b2d6bfb94c609cd11772f49e6960edf0e00,612,2,814.8
00fe5f5a1188b1d9c43adb78227705f4413934bc2ed914fb40ea7743bb1ad075,66,1,188.4
01002e5b02a7ffc1f467d42e7eb1649327e442203f40f7e630af91caf0f0797a,383,1,142.35
01057fccf9f26aceb3ed7dfa78c6e66606d3b0689b824812006ea4d884028011,650,1,174.01
0105ada3c8ab7c557f08f686469071e453c1a40d8efab95ffa6d92abea1c6e35,544,1,219.58
01061f682c55215b448180fce9dbe5c65a15177eda98e462253509727ede710d,520,1,151.8
01069160e608c883ad5c897bbcccde901d53cee8372db8c655b63242d48fb102,542,2,1048.75
010dc710a11689cbba18a46a34de1f97fa2053fd614f45b203afcaebafdbafc7,375,1,180.95
010ea5d30dd9abd64e2be74b73962db3bc47a224ed3acf1ad2e56cf71975c5d7,317,5,1144.64
010f9a584b840da030f92e44185a4a3bbb975d9db029131767951062f6a50c81,350,1,76.24
01128349f4efbf389b5092a59a30667c961cf424d2bcb45accb26991643354a5,530,1,308.41
0113387d51fc102d78b035cfec6e7ead0bf9fa6eff1da0c0de62a178a7c20c5a,623,1,141.8
